mean,median,std,var,min,max,q25,q75,iqr,skewness,kurtosis,n,environment,training_setup
0.22453826665878296,0.2132752239704132,0.05385296046733856,0.002900141291320324,0.11643040925264359,0.36544960737228394,0.1846110075712204,0.2609972059726715,0.07638619840145111,0.4653732180595398,-0.3031313419342041,190,Asterix,different-world
0.3423725366592407,0.3450872302055359,0.02913847379386425,0.0008490506443195045,0.264024019241333,0.40910643339157104,0.3198862075805664,0.364774614572525,0.04488840699195862,-0.21268339455127716,-0.5251877307891846,190,Asterix,different-world-same-init
0.2355099767446518,0.22983402013778687,0.0412432998418808,0.0017010096926242113,0.13820880651474,0.3607904016971588,0.2078942060470581,0.2596544027328491,0.051760196685791016,0.48764583468437195,0.04620099067687988,190,Asterix,same-world
0.24360904097557068,0.2445560097694397,0.028518451377749443,0.0008133021183311939,0.16070400178432465,0.30949363112449646,0.22957761585712433,0.2621893882751465,0.032611772418022156,-0.5893570780754089,0.4599785804748535,190,Breakout,different-world
0.28391343355178833,0.2883076071739197,0.038796667009592056,0.0015051813097670674,0.18865521252155304,0.37477120757102966,0.2657740116119385,0.30952760577201843,0.043753594160079956,-0.4285823106765747,-0.06696224212646484,190,Breakout,different-world-same-init
0.23220020532608032,0.2313460111618042,0.024444272741675377,0.00059752247761935,0.17895039916038513,0.29984161257743835,0.2151792198419571,0.24873901903629303,0.03355979919433594,0.22756873071193695,-0.22096681594848633,190,Breakout,same-world
0.4893098473548889,0.4889248013496399,0.03317961096763611,0.0011008866131305695,0.3976752460002899,0.5825632214546204,0.46610260009765625,0.5101790428161621,0.04407644271850586,0.08214715868234634,-0.10814952850341797,190,Freeway,different-world
0.5721319317817688,0.5731556415557861,0.02361193858087063,0.0005575236864387989,0.49518561363220215,0.6290728449821472,0.5584838390350342,0.5890928506851196,0.03060901165008545,-0.26719650626182556,0.014847993850708008,190,Freeway,different-world-same-init
0.473044216632843,0.4714236259460449,0.03130476549267769,0.000979988370090723,0.38342639803886414,0.5828736424446106,0.4499192237854004,0.4919130206108093,0.041993796825408936,0.24887047708034515,0.5694513320922852,190,Freeway,same-world
0.17418548464775085,0.1754252016544342,0.04095735028386116,0.0016775046242401004,0.074515201151371,0.26749280095100403,0.15019060671329498,0.1978476196527481,0.047657012939453125,-0.15674102306365967,-0.20264601707458496,190,Seaquest,different-world
0.17546965181827545,0.17311839759349823,0.032883137464523315,0.0010813006665557623,0.09669201076030731,0.26121121644973755,0.15270501375198364,0.19809460639953613,0.04538959264755249,0.14742320775985718,-0.33883237838745117,190,Seaquest,different-world-same-init
0.1723114401102066,0.17800560593605042,0.04746825620532036,0.0022532353177666664,0.059356801211833954,0.2771799862384796,0.13748818635940552,0.20820000767707825,0.07071182131767273,-0.3291390836238861,-0.707007884979248,190,Seaquest,same-world
0.23945945501327515,0.24073240160942078,0.06084325909614563,0.0037019019946455956,0.10971760749816895,0.39766639471054077,0.18790659308433533,0.2831369936466217,0.09523040056228638,0.0036488177720457315,-0.6913754940032959,190,Space Invaders,different-world
0.28243282437324524,0.2915987968444824,0.05639674887061119,0.0031805934850126505,0.15500080585479736,0.390800803899765,0.2426910102367401,0.3274890184402466,0.08479800820350647,-0.2820281982421875,-0.7920620441436768,190,Space Invaders,different-world-same-init
0.22438044846057892,0.2211444079875946,0.06596934795379639,0.0043519544415175915,0.07844080775976181,0.425223171710968,0.17877939343452454,0.26466643810272217,0.08588704466819763,0.3781408667564392,0.21434473991394043,190,Space Invaders,same-world
