mean,median,std,var,min,max,q25,q75,iqr,skewness,kurtosis,n,environment,training_setup,metric
0.019471999889000002,0.001,0.029477794820123308,0.0008689403874572885,8e-05,0.07372,0.00058,0.060899999499999996,0.0603199995,0.9012142438389195,-1.139040688522715,20,minatar-asterix,DWDI,Action Deviance in Important States
0.006975999830500001,0.00117999995,0.018146001109247894,0.00032927735625682574,0.0002,0.06048,0.0008,0.001429999975,0.0006299999749999999,2.664402062608509,5.105573745297205,20,minatar-asterix,DWSI,Action Deviance in Important States
0.014133999843499997,0.0026199999,0.027030220105033354,0.0007306327989265494,0.00043999997,0.10504,0.0018199999,0.003399999925,0.0015800000250000001,2.295484367509181,4.5439446097030345,20,minatar-asterix,SWDI,Action Deviance in Important States
0.087781998,0.0495,0.0659373319870188,0.004347731749566332,0.01804,0.21159999,0.03318,0.1400899925,0.10690999250000001,0.4152500245912233,-1.387044092248,20,minatar-breakout,DWDI,Action Deviance in Important States
0.03685599943,0.01636,0.060951441077257244,0.0037150781693943615,0.0021199998,0.2438,0.007649999249999999,0.0252,0.017550000750000003,2.559318846951896,5.459386632426929,20,minatar-breakout,DWSI,Action Deviance in Important States
0.079247998445,0.044719999999999996,0.0795044640643589,0.006320959806160936,0.00108,0.24056,0.007569999250000001,0.1428499975,0.13527999824999998,0.745512713568293,-0.754494422582852,20,minatar-breakout,SWDI,Action Deviance in Important States
8.8e-05,0.0,0.00038423676911097677,1.476378947368421e-07,0.0,0.00172,0.0,0.0,0.0,4.125816352911088,15.033255236186488,20,minatar-freeway,DWDI,Action Deviance in Important States
2e-05,0.0,4e-05,1.6e-09,0.0,0.00016,0.0,4e-05,4e-05,2.4299487286227337,5.656509695290859,20,minatar-freeway,DWSI,Action Deviance in Important States
6e-06,0.0,2.6832815729997476e-05,7.2e-10,0.0,0.00012,0.0,0.0,0.0,4.129483209670111,15.05263157894738,20,minatar-freeway,SWDI,Action Deviance in Important States
0.023171999595,0.02354,0.010709374584113857,0.00011469070398286384,0.0017599999,0.047319997,0.01651999975,0.02876,0.01224000025,0.18910157365533894,0.11384438810204145,20,minatar-seaquest,DWDI,Action Deviance in Important States
0.02200599938,0.0192399995,0.014388224298744801,0.00020702099847099033,0.00144,0.052279998,0.00903,0.03123,0.0222,0.42647781949289437,-0.7582558379741569,20,minatar-seaquest,DWSI,Action Deviance in Important States
0.044241999250000004,0.042079999,0.02783418986360407,0.0007747421253631596,0.00244,0.11304,0.02478,0.0560299985,0.031249998499999997,0.8127015403664871,0.18958895273281628,20,minatar-seaquest,SWDI,Action Deviance in Important States
0.06049399919999998,0.060279997,0.022076358589471885,0.000487365608570949,0.01876,0.09724,0.04741,0.073489999,0.026079999,-0.1312158883021276,-0.6108062325456776,20,minatar-space_invaders,DWDI,Action Deviance in Important States
0.014417999755000003,0.01,0.02087958654104707,0.0004359571341250739,0.0022399998,0.10204,0.0076999997,0.01239999975,0.00470000005,3.9623266350231945,14.19527233424665,20,minatar-space_invaders,DWSI,Action Deviance in Important States
0.0959999982,0.10544,0.05594464317926025,0.0031298031004547504,0.01644,0.20636,0.037570000000000006,0.12796,0.09038999999999998,0.1816183533551282,-0.5746638829026653,20,minatar-space_invaders,SWDI,Action Deviance in Important States
