mean,median,std,var,min,max,q25,q75,iqr,skewness,kurtosis,n,environment,training_setup
67.5773779296875,67.49462890625,3.4136953274013426,11.653315788321759,58.6962890625,77.0888671875,65.499755859375,69.616943359375,4.1171875,-0.007871445624673769,0.16332428894842055,200,minatar-asterix,DWDI
67.821474609375,67.6728515625,3.2552729386827948,10.596801905320518,55.7841796875,77.2509765625,65.593994140625,69.8955078125,4.301513671875,0.03467140839624589,0.3301847652799035,200,minatar-asterix,DWSI
68.105146484375,67.78759765625,3.1019913351465074,9.622350243324012,58.6611328125,75.916015625,66.16845703125,70.33740234375,4.1689453125,-0.032687238143348965,-0.4284925248629645,200,minatar-asterix,SWDI
519.996201171875,536.81298828125,81.99437766869086,6723.077969275911,150.939453125,732.7216796875,490.376953125,569.731201171875,79.354248046875,-1.4917532401715672,3.7589916883576073,200,minatar-breakout,DWDI
521.294521484375,527.6767578125,64.54287369370118,4165.782544641064,222.431640625,702.6923828125,486.337158203125,564.598876953125,78.26171875,-0.8928474648958566,2.4364380717019305,200,minatar-breakout,DWSI
473.43884765625,489.21142578125,89.18666522876319,7954.261254627478,74.6240234375,743.5908203125,431.134765625,524.896728515625,93.761962890625,-1.0146040831636538,2.841735690068962,200,minatar-breakout,SWDI
68.779013671875,68.79345703125,0.12816880369541594,0.01642724224071407,68.4580078125,69.0693359375,68.702880859375,68.8662109375,0.163330078125,-0.321730382955079,-0.31599789075547635,200,minatar-freeway,DWDI
68.7767333984375,68.775390625,0.11866290771213499,0.014080885666698666,68.4111328125,69.1240234375,68.703857421875,68.86279296875,0.158935546875,-0.13433297186587775,0.38106647055632337,200,minatar-freeway,DWSI
68.83240234375,68.845703125,0.11947933629168991,0.01427531180070273,68.47265625,69.1484375,68.763916015625,68.90966796875,0.145751953125,-0.4577521909675831,0.30370845685606795,200,minatar-freeway,SWDI
155.3964404296875,155.45166015625,5.587663609858002,31.221984616931362,139.7119140625,167.48828125,151.077880859375,159.791015625,8.713134765625,-0.14835679654560302,-0.5857361092552438,200,minatar-seaquest,DWDI
156.968212890625,157.31396484375,5.472650655890463,29.949905201418314,143.220703125,170.958984375,153.0595703125,160.95556640625,7.89599609375,-0.020847630281964194,-0.35670701462806287,200,minatar-seaquest,DWSI
154.913037109375,155.19580078125,5.849413587126637,34.21563931326171,137.912109375,168.8720703125,151.3251953125,158.7509765625,7.42578125,-0.18859734370712078,-0.16592748968927395,200,minatar-seaquest,SWDI
793.1145263671875,794.05126953125,100.13392992881116,10026.803922988063,491.4296875,1072.8017578125,735.24267578125,863.780029296875,128.537353515625,-0.1405474413270557,-0.027530302094195935,200,minatar-space_invaders,DWDI
789.1913623046875,783.7529296875,82.7875031654422,6853.770680368102,615.0009765625,1130.79296875,734.576416015625,833.783203125,99.206787109375,0.6695762123800111,1.3185473215520789,200,minatar-space_invaders,DWSI
801.569443359375,803.50439453125,105.13671669588688,11053.729197591178,503.2099609375,1085.326171875,726.46923828125,866.687255859375,140.218017578125,0.06630233703066461,-0.026691257515707445,200,minatar-space_invaders,SWDI
