environment,setup1,setup2,test,metric,n1,n2,mean1,mean2,median1,median2,std1,std2,statistic,pvalue,significant,effect_size,interpretation
minatar-asterix,DWDI,DWSI,ttest,Action Deviance in Important States,20,20,0.019471999889000002,0.006975999830500001,0.001,0.00117999995,0.029477794820123308,0.018146001109247894,1.6144259998757016,0.11470938736046526,False,0.510526327340193,medium
minatar-asterix,DWDI,DWSI,mannwhitneyu,Action Deviance in Important States,20,20,0.019471999889000002,0.006975999830500001,0.001,0.00117999995,0.029477794820123308,0.018146001109247894,192.5,0.849629737024564,False,0.03749999999999998,
minatar-asterix,DWDI,DWSI,kolmogorov_smirnov,Action Deviance in Important States,20,20,0.019471999889000002,0.006975999830500001,0.001,0.00117999995,0.029477794820123308,0.018146001109247894,0.3,0.33559098126008213,False,,
minatar-asterix,DWDI,DWSI,welch_ttest,Action Deviance in Important States,20,20,0.019471999889000002,0.006975999830500001,0.001,0.00117999995,0.029477794820123308,0.018146001109247894,1.6144259998757018,0.11638037364494762,False,,
minatar-asterix,DWDI,SWDI,ttest,Action Deviance in Important States,20,20,0.019471999889000002,0.014133999843499997,0.001,0.0026199999,0.029477794820123308,0.027030220105033354,0.5968861658239152,0.5541232747008707,False,0.18875197878485256,negligible
minatar-asterix,DWDI,SWDI,mannwhitneyu,Action Deviance in Important States,20,20,0.019471999889000002,0.014133999843499997,0.001,0.0026199999,0.029477794820123308,0.027030220105033354,123.0,0.03845126094550763,True,0.385,
minatar-asterix,DWDI,SWDI,kolmogorov_smirnov,Action Deviance in Important States,20,20,0.019471999889000002,0.014133999843499997,0.001,0.0026199999,0.029477794820123308,0.027030220105033354,0.65,0.0002704973445409677,True,,
minatar-asterix,DWDI,SWDI,welch_ttest,Action Deviance in Important States,20,20,0.019471999889000002,0.014133999843499997,0.001,0.0026199999,0.029477794820123308,0.027030220105033354,0.5968861658239153,0.554149615782894,False,,
minatar-asterix,DWSI,SWDI,ttest,Action Deviance in Important States,20,20,0.006975999830500001,0.014133999843499997,0.00117999995,0.0026199999,0.018146001109247894,0.027030220105033354,-0.9832685899729406,0.3316945977512763,False,-0.31093682960166924,small
minatar-asterix,DWSI,SWDI,mannwhitneyu,Action Deviance in Important States,20,20,0.006975999830500001,0.014133999843499997,0.00117999995,0.0026199999,0.018146001109247894,0.027030220105033354,64.5,0.0002581955800354797,True,0.6775,
minatar-asterix,DWSI,SWDI,kolmogorov_smirnov,Action Deviance in Important States,20,20,0.006975999830500001,0.014133999843499997,0.00117999995,0.0026199999,0.018146001109247894,0.027030220105033354,0.7,5.569062975843453e-05,True,,
minatar-asterix,DWSI,SWDI,welch_ttest,Action Deviance in Important States,20,20,0.006975999830500001,0.014133999843499997,0.00117999995,0.0026199999,0.018146001109247894,0.027030220105033354,-0.9832685899729406,0.332579648574293,False,,
minatar-breakout,DWDI,DWSI,ttest,Action Deviance in Important States,20,20,0.087781998,0.03685599943,0.0495,0.01636,0.0659373319870188,0.060951441077257244,2.536362599867927,0.015431579900017279,True,0.8020682787648934,large
minatar-breakout,DWDI,DWSI,mannwhitneyu,Action Deviance in Important States,20,20,0.087781998,0.03685599943,0.0495,0.01636,0.0659373319870188,0.060951441077257244,335.0,0.0002741472565175342,True,-0.675,
minatar-breakout,DWDI,DWSI,kolmogorov_smirnov,Action Deviance in Important States,20,20,0.087781998,0.03685599943,0.0495,0.01636,0.0659373319870188,0.060951441077257244,0.65,0.0002704973445409677,True,,
minatar-breakout,DWDI,DWSI,welch_ttest,Action Deviance in Important States,20,20,0.087781998,0.03685599943,0.0495,0.01636,0.0659373319870188,0.060951441077257244,2.5363625998679273,0.01545916613030472,True,,
minatar-breakout,DWDI,SWDI,ttest,Action Deviance in Important States,20,20,0.087781998,0.079247998445,0.0495,0.044719999999999996,0.0659373319870188,0.0795044640643589,0.36949795067324065,0.7138077757751371,False,0.11684551148919868,negligible
minatar-breakout,DWDI,SWDI,mannwhitneyu,Action Deviance in Important States,20,20,0.087781998,0.079247998445,0.0495,0.044719999999999996,0.0659373319870188,0.0795044640643589,224.0,0.5249674713729339,False,-0.1200000000000001,
minatar-breakout,DWDI,SWDI,kolmogorov_smirnov,Action Deviance in Important States,20,20,0.087781998,0.079247998445,0.0495,0.044719999999999996,0.0659373319870188,0.0795044640643589,0.3,0.33559098126008213,False,,
minatar-breakout,DWDI,SWDI,welch_ttest,Action Deviance in Important States,20,20,0.087781998,0.079247998445,0.0495,0.044719999999999996,0.0659373319870188,0.0795044640643589,0.3694979506732407,0.7138776615204697,False,,
minatar-breakout,DWSI,SWDI,ttest,Action Deviance in Important States,20,20,0.03685599943,0.079247998445,0.01636,0.044719999999999996,0.060951441077257244,0.0795044640643589,-1.8924209456737717,0.06607163907289114,False,-0.5984360480138886,medium
minatar-breakout,DWSI,SWDI,mannwhitneyu,Action Deviance in Important States,20,20,0.03685599943,0.079247998445,0.01636,0.044719999999999996,0.060951441077257244,0.0795044640643589,141.0,0.11353446024311495,False,0.29500000000000004,
minatar-breakout,DWSI,SWDI,kolmogorov_smirnov,Action Deviance in Important States,20,20,0.03685599943,0.079247998445,0.01636,0.044719999999999996,0.060951441077257244,0.0795044640643589,0.45,0.0335416594061465,True,,
minatar-breakout,DWSI,SWDI,welch_ttest,Action Deviance in Important States,20,20,0.03685599943,0.079247998445,0.01636,0.044719999999999996,0.060951441077257244,0.0795044640643589,-1.892420945673772,0.06658917963467671,False,,
