environment,setup1,setup2,test,n1,n2,mean1,mean2,median1,median2,std1,std2,statistic,pvalue,significant,effect_size,interpretation
minatar-asterix,DWDI,DWSI,ttest,200,200,67.5773779296875,67.821474609375,67.49462890625,67.6728515625,3.4136953274013426,3.2552729386827948,-0.7318308508734496,0.46470250751305153,False,-0.07318308508734497,negligible
minatar-asterix,DWDI,DWSI,mannwhitneyu,200,200,67.5773779296875,67.821474609375,67.49462890625,67.6728515625,3.4136953274013426,3.2552729386827948,19321.5,0.5575846673065538,False,0.03392499999999998,
minatar-asterix,DWDI,DWSI,kolmogorov_smirnov,200,200,67.5773779296875,67.821474609375,67.49462890625,67.6728515625,3.4136953274013426,3.2552729386827948,0.07,0.7125821300149116,False,,
minatar-asterix,DWDI,DWSI,welch_ttest,200,200,67.5773779296875,67.821474609375,67.49462890625,67.6728515625,3.4136953274013426,3.2552729386827948,-0.7318308508734497,0.4647034781050373,False,,
minatar-asterix,DWDI,SWDI,ttest,200,200,67.5773779296875,68.105146484375,67.49462890625,67.78759765625,3.4136953274013426,3.1019913351465074,-1.6181431021897115,0.10642394147601064,False,-0.16181431021897114,negligible
minatar-asterix,DWDI,SWDI,mannwhitneyu,200,200,67.5773779296875,68.105146484375,67.49462890625,67.78759765625,3.4136953274013426,3.1019913351465074,18212.5,0.12218745287159323,False,0.08937499999999998,
minatar-asterix,DWDI,SWDI,kolmogorov_smirnov,200,200,67.5773779296875,68.105146484375,67.49462890625,67.78759765625,3.4136953274013426,3.1019913351465074,0.11,0.17793352788293415,False,,
minatar-asterix,DWDI,SWDI,welch_ttest,200,200,67.5773779296875,68.105146484375,67.49462890625,67.78759765625,3.4136953274013426,3.1019913351465074,-1.6181431021897115,0.10643115804772896,False,,
minatar-asterix,DWSI,SWDI,ttest,200,200,67.821474609375,68.105146484375,67.6728515625,67.78759765625,3.2552729386827948,3.1019913351465074,-0.8921745016217141,0.37283848600749203,False,-0.08921745016217142,negligible
minatar-asterix,DWSI,SWDI,mannwhitneyu,200,200,67.821474609375,68.105146484375,67.6728515625,67.78759765625,3.2552729386827948,3.1019913351465074,18900.0,0.3416007298725665,False,0.05500000000000005,
minatar-asterix,DWSI,SWDI,kolmogorov_smirnov,200,200,67.821474609375,68.105146484375,67.6728515625,67.78759765625,3.2552729386827948,3.1019913351465074,0.07,0.7125821300149116,False,,
minatar-asterix,DWSI,SWDI,welch_ttest,200,200,67.821474609375,68.105146484375,67.6728515625,67.78759765625,3.2552729386827948,3.1019913351465074,-0.8921745016217141,0.3728397374050836,False,,
