mean,median,std,var,min,max,q25,q75,iqr,skewness,kurtosis,n,environment,training_setup
0.4712389409542084,0.4781399965286255,0.1152815893292427,0.013289845548570156,0.20260000228881836,0.7380799651145935,0.3966899812221527,0.5494499802589417,0.15275999903678894,-0.1295177936553955,-0.37558770179748535,190,minatar-asterix,DWDI
0.5097094774246216,0.504539966583252,0.07770685851573944,0.006038356106728315,0.28995999693870544,0.772159993648529,0.45506998896598816,0.5608000159263611,0.10573002696037292,0.3574928343296051,0.4309577941894531,190,minatar-asterix,DWSI
0.4568183124065399,0.4558199942111969,0.09743352979421616,0.00949329324066639,0.23847998678684235,0.7644000053405762,0.3783699870109558,0.5207099914550781,0.14234000444412231,0.3079114556312561,0.03721427917480469,190,minatar-asterix,SWDI
0.4120684266090393,0.38703998923301697,0.14354942739009857,0.02060643956065178,0.10743999481201172,0.7231999635696411,0.3074299991130829,0.522059977054596,0.21462997794151306,0.2509385049343109,-0.8308506011962891,190,minatar-breakout,DWDI
0.46650880575180054,0.4592199921607971,0.12179260700941086,0.014833439141511917,0.18143999576568604,0.6988399624824524,0.38589000701904297,0.5534199476242065,0.16752994060516357,-0.03922343999147415,-0.8075659275054932,190,minatar-breakout,DWSI
0.42396271228790283,0.43421998620033264,0.15839128196239471,0.02508779615163803,0.15191999077796936,0.7269200086593628,0.2752099931240082,0.5646499991416931,0.28944000601768494,-0.0069059813395142555,-1.3436616659164429,190,minatar-breakout,SWDI
0.4380086064338684,0.44047999382019043,0.16248467564582825,0.02640126831829548,0.05920000001788139,0.7887600064277649,0.3263799846172333,0.5397700071334839,0.2133900225162506,0.06148754805326462,-0.5618221759796143,190,minatar-freeway,DWDI
0.4853595495223999,0.4743799865245819,0.20351165533065796,0.041416991502046585,0.07667999714612961,0.8559199571609497,0.3422899842262268,0.6943299770355225,0.35203999280929565,0.12242720276117325,-0.962989091873169,190,minatar-freeway,DWSI
0.4318179190158844,0.43705999851226807,0.14814570546150208,0.02194714918732643,0.032839998602867126,0.8268399834632874,0.33758997917175293,0.5210700035095215,0.18348002433776855,-0.03735247999429703,-0.1912369728088379,190,minatar-freeway,SWDI
0.4792170524597168,0.47655999660491943,0.05349051207304001,0.002861234825104475,0.35475999116897583,0.6036799550056458,0.4409700036048889,0.5194900035858154,0.07851999998092651,0.08872006833553314,-0.5829837322235107,190,minatar-seaquest,DWDI
0.4885357618331909,0.4869399666786194,0.06042448803782463,0.0036511188372969627,0.32663998007774353,0.6277999877929688,0.4500599801540375,0.531719982624054,0.08166000247001648,-0.06605652719736099,-0.37599778175354004,190,minatar-seaquest,DWSI
0.4733671545982361,0.4772000014781952,0.062084607779979706,0.0038544987328350544,0.2961199879646301,0.6263999938964844,0.4330500066280365,0.5138999819755554,0.08084997534751892,-0.08722098171710968,0.15313458442687988,190,minatar-seaquest,SWDI
0.49946779012680054,0.4988200068473816,0.03817353397607803,0.0014572186628356576,0.39447999000549316,0.5789600014686584,0.4734399914741516,0.5286299586296082,0.05518996715545654,-0.21672993898391724,-0.37796902656555176,190,minatar-space_invaders,DWDI
0.5286831259727478,0.5301200151443481,0.0365554541349411,0.0013363013276830316,0.43347999453544617,0.6105999946594238,0.5015699863433838,0.5557899475097656,0.054219961166381836,-0.0738498643040657,-0.4495980739593506,190,minatar-space_invaders,DWSI
0.5024086236953735,0.5071399807929993,0.04131617769598961,0.0017070266185328364,0.39419999718666077,0.591159999370575,0.4705199897289276,0.5321699976921082,0.06165000796318054,-0.20426489412784576,-0.5719859600067139,190,minatar-space_invaders,SWDI
