mean_rewards,std_rewards,policy_index
898.0595703125,883.1736450195312,1
780.794921875,769.7034301757812,2
1046.267578125,938.9861450195312,3
813.888671875,764.332275390625,4
626.5419921875,555.95703125,5
779.4482421875,763.0458374023438,6
696.142578125,634.9480590820312,7
917.01171875,904.8782958984375,8
912.1474609375,920.4573974609375,9
663.0,613.4337768554688,10
745.9326171875,668.49462890625,11
646.162109375,627.865966796875,12
863.6220703125,827.08056640625,13
838.77734375,776.3552856445312,14
853.5693359375,833.6525268554688,15
688.6962890625,624.8529663085938,16
786.921875,829.9263305664062,17
859.09765625,822.7659912109375,18
742.00390625,742.278076171875,19
611.8193359375,563.6956176757812,20
868.576171875,858.68603515625,21
872.7021484375,789.06201171875,22
806.55859375,794.7664184570312,23
748.8623046875,725.5393676757812,24
786.5166015625,765.4645385742188,25
726.0810546875,695.5072021484375,26
858.5625,786.8973999023438,27
700.4130859375,655.1103515625,28
817.3994140625,762.815673828125,29
743.556640625,713.4166259765625,30
703.9296875,636.0116577148438,31
719.0732421875,687.6995849609375,32
785.193359375,738.9757690429688,33
737.869140625,698.083251953125,34
1020.9609375,979.2998046875,35
837.3134765625,780.156005859375,36
814.5615234375,821.0167236328125,37
684.7333984375,678.6664428710938,38
758.912109375,747.6500854492188,39
802.7890625,781.4793090820312,40
708.3505859375,665.660400390625,41
875.8857421875,802.9972534179688,42
834.2138671875,780.5466918945312,43
776.4775390625,738.219970703125,44
835.6318359375,745.8807373046875,45
784.73828125,715.6093139648438,46
766.3505859375,780.032470703125,47
726.5986328125,645.0160522460938,48
711.09765625,664.8357543945312,49
648.1201171875,603.7905883789062,50
977.1220703125,938.0573120117188,51
660.4130859375,596.7192993164062,52
733.4130859375,663.7852172851562,53
990.2041015625,949.2691650390625,54
799.23828125,760.489501953125,55
668.9736328125,615.1172485351562,56
835.494140625,774.7974853515625,57
884.1904296875,813.022216796875,58
765.3818359375,753.09619140625,59
962.5166015625,976.2490234375,60
685.345703125,631.928466796875,61
805.58984375,797.406005859375,62
748.3662109375,704.7326049804688,63
860.59765625,863.1793823242188,64
759.66796875,702.7369995117188,65
927.5498046875,887.5643310546875,66
824.771484375,819.9039306640625,67
906.0615234375,864.9443359375,68
780.7490234375,776.5029296875,69
735.0166015625,694.2175903320312,70
903.6162109375,871.7677612304688,71
