mean_rewards,std_rewards,policy_index
546.6953125,565.0974731445312,1
498.6865234375,507.0334777832031,2
576.8876953125,561.8800048828125,3
538.3427734375,536.4476928710938,4
414.4248046875,398.6470947265625,5
581.482421875,617.6019897460938,6
557.294921875,551.3179931640625,7
605.193359375,611.066162109375,8
453.0498046875,472.1681213378906,9
405.6572265625,406.9100646972656,10
565.900390625,572.1569213867188,11
511.00390625,514.4212646484375,12
541.349609375,532.3714599609375,13
494.9462890625,506.36480712890625,14
547.7744140625,515.1724853515625,15
487.0615234375,459.7184143066406,16
583.4423828125,545.2586059570312,17
561.8623046875,549.4213256835938,18
532.3232421875,500.0476379394531,19
446.798828125,431.2598571777344,20
511.1875,485.3350830078125,21
586.359375,596.4160766601562,22
544.001953125,538.4785766601562,23
470.107421875,474.1436767578125,24
447.962890625,444.1170959472656,25
540.1044921875,512.1525268554688,26
613.7490234375,568.1142578125,27
554.2138671875,557.7736206054688,28
564.1455078125,563.9325561523438,29
366.435546875,349.6841125488281,30
390.57421875,389.1043395996094,31
536.986328125,538.1915283203125,32
550.697265625,559.1119995117188,33
490.755859375,505.56787109375,34
558.6708984375,557.3718872070312,35
550.177734375,520.3986206054688,36
518.423828125,555.6459350585938,37
550.169921875,541.1802978515625,38
635.4775390625,640.198974609375,39
539.044921875,515.612060546875,40
572.5380859375,583.4593505859375,41
648.4404296875,628.6163940429688,42
567.359375,573.77978515625,43
629.3466796875,643.9150390625,44
611.2392578125,633.297119140625,45
603.607421875,595.03076171875,46
362.3232421875,335.3562927246094,47
515.9482421875,534.8818359375,48
215.9609375,207.16685485839844,49
565.958984375,565.8577270507812,50
552.0224609375,562.1721801757812,51
203.2119140625,201.86827087402344,52
555.3232421875,568.9805908203125,53
456.37890625,456.50225830078125,54
150.939453125,143.5561981201172,55
513.8779296875,526.041015625,56
585.7138671875,595.892578125,57
497.3603515625,481.0018310546875,58
546.9345703125,540.7623291015625,59
551.6748046875,553.9652709960938,60
563.0048828125,574.0455322265625,61
732.7216796875,750.0128173828125,62
518.9228515625,509.64691162109375,63
563.8134765625,569.2811279296875,64
606.4619140625,592.9320068359375,65
537.376953125,521.6561279296875,66
498.7265625,477.2668151855469,67
611.205078125,653.5784912109375,68
514.5185546875,526.2272338867188,69
297.1826171875,280.6224060058594,70
515.490234375,508.21771240234375,71
439.5126953125,431.11492919921875,72
563.3251953125,545.6600341796875,73
429.908203125,407.2645568847656,74
446.400390625,420.1243591308594,75
548.0927734375,514.3375244140625,76
600.0361328125,594.9937133789062,77
449.3134765625,423.9732360839844,78
496.375,481.87017822265625,79
579.826171875,562.1234741210938,80
518.66015625,523.0343017578125,81
530.486328125,507.33087158203125,82
602.87109375,595.8497314453125,83
557.193359375,562.1199951171875,84
545.5078125,536.080810546875,85
499.599609375,507.3852844238281,86
524.1513671875,507.25274658203125,87
482.81640625,451.0957946777344,88
522.9716796875,529.006591796875,89
474.9365234375,477.0908203125,90
524.177734375,501.96551513671875,91
451.9501953125,431.6802062988281,92
556.0224609375,566.1828002929688,93
629.296875,633.47412109375,94
486.1171875,460.2943420410156,95
411.8212890625,423.5483703613281,96
527.095703125,519.4411010742188,97
500.7255859375,494.7256164550781,98
613.3935546875,611.962646484375,99
598.580078125,591.13330078125,100
533.3544921875,535.1326293945312,101
574.291015625,577.5205688476562,102
516.9404296875,510.5807800292969,103
610.8857421875,623.249267578125,104
558.1279296875,558.9906616210938,105
467.107421875,492.6300354003906,106
582.7265625,571.6383056640625,107
491.3779296875,484.0737609863281,108
615.328125,619.084716796875,109
582.875,581.6507568359375,110
589.34375,584.9255981445312,111
589.3876953125,569.056640625,112
420.609375,412.6538391113281,113
563.974609375,570.6766357421875,114
490.8251953125,485.0277099609375,115
551.642578125,568.1876220703125,116
527.595703125,482.33953857421875,117
429.228515625,411.3364562988281,118
522.7958984375,512.9085083007812,119
539.47265625,524.2938842773438,120
520.8857421875,493.1753845214844,121
544.0341796875,541.4546508789062,122
584.19140625,585.2518920898438,123
287.06640625,290.6715393066406,124
443.12890625,418.2407531738281,125
574.0400390625,561.59912109375,126
481.6337890625,470.26031494140625,127
489.240234375,491.9073181152344,128
561.6455078125,547.3893432617188,129
417.0986328125,419.193359375,130
241.01953125,243.06292724609375,131
528.541015625,506.0936584472656,132
514.37109375,485.6234436035156,133
522.20703125,501.7914733886719,134
309.568359375,319.9973449707031,135
527.69921875,514.4793701171875,136
547.998046875,527.2041625976562,137
478.97265625,487.026611328125,138
597.3681640625,619.1925659179688,139
435.01171875,449.53436279296875,140
446.4345703125,441.9200744628906,141
369.783203125,379.720458984375,142
524.619140625,545.0433959960938,143
594.4267578125,576.5654907226562,144
536.6396484375,535.553466796875,145
573.9443359375,575.1400756835938,146
539.8798828125,530.2197875976562,147
525.771484375,539.7285766601562,148
482.6904296875,466.9091491699219,149
544.0849609375,549.3712158203125,150
575.90625,570.734375,151
532.033203125,541.1156616210938,152
566.2216796875,560.9356689453125,153
517.8095703125,513.5821533203125,154
586.4775390625,600.7352294921875,155
612.1142578125,624.9076538085938,156
599.6318359375,584.2415771484375,157
553.900390625,526.131591796875,158
361.70703125,379.281005859375,159
587.5400390625,564.6961059570312,160
526.765625,509.9044494628906,161
533.9482421875,503.5570983886719,162
638.1376953125,719.2701416015625,163
500.3203125,483.23529052734375,164
630.5498046875,610.7400512695312,165
540.84375,526.44287109375,166
522.587890625,513.8887329101562,167
533.8251953125,531.9848022460938,168
434.1923828125,421.9850769042969,169
479.3603515625,472.5359191894531,170
430.3505859375,436.6871337890625,171
367.9970703125,360.75299072265625,172
523.8564453125,494.66552734375,173
571.787109375,576.1580200195312,174
544.265625,533.2219848632812,175
578.146484375,547.3651733398438,176
543.291015625,542.9675903320312,177
515.92578125,499.8976745605469,178
569.0458984375,547.8919067382812,179
454.546875,436.22955322265625,180
548.541015625,512.04638671875,181
498.6015625,503.6754150390625,182
578.142578125,546.9873046875,183
662.3828125,635.0103149414062,184
511.814453125,510.9698791503906,185
521.970703125,521.0270385742188,186
565.28125,557.5360717773438,187
444.546875,444.2459411621094,188
382.6298828125,388.7267150878906,189
494.4716796875,490.5619201660156,190
588.5546875,555.2755126953125,191
576.126953125,567.009033203125,192
559.8330078125,583.2570190429688,193
432.142578125,426.11761474609375,194
542.74609375,539.796875,195
603.177734375,581.9823608398438,196
598.9912109375,584.2763671875,197
431.970703125,436.7545166015625,198
599.6181640625,572.9075317382812,199
476.5498046875,455.5474853515625,200
-1.0,-1.0,201
-1.0,-1.0,202
-1.0,-1.0,203
-1.0,-1.0,204
-1.0,-1.0,205
-1.0,-1.0,206
-1.0,-1.0,207
-1.0,-1.0,208
-1.0,-1.0,209
-1.0,-1.0,210
-1.0,-1.0,211
-1.0,-1.0,212
-1.0,-1.0,213
-1.0,-1.0,214
-1.0,-1.0,215
-1.0,-1.0,216
-1.0,-1.0,217
-1.0,-1.0,218
-1.0,-1.0,219
-1.0,-1.0,220
-1.0,-1.0,221
-1.0,-1.0,222
-1.0,-1.0,223
-1.0,-1.0,224
-1.0,-1.0,225
-1.0,-1.0,226
-1.0,-1.0,227
-1.0,-1.0,228
-1.0,-1.0,229
-1.0,-1.0,230
-1.0,-1.0,231
-1.0,-1.0,232
-1.0,-1.0,233
-1.0,-1.0,234
-1.0,-1.0,235
-1.0,-1.0,236
-1.0,-1.0,237
-1.0,-1.0,238
-1.0,-1.0,239
-1.0,-1.0,240
-1.0,-1.0,241
-1.0,-1.0,242
-1.0,-1.0,243
-1.0,-1.0,244
-1.0,-1.0,245
-1.0,-1.0,246
-1.0,-1.0,247
-1.0,-1.0,248
-1.0,-1.0,249
-1.0,-1.0,250
-1.0,-1.0,251
-1.0,-1.0,252
-1.0,-1.0,253
-1.0,-1.0,254
-1.0,-1.0,255
-1.0,-1.0,256
-1.0,-1.0,257
-1.0,-1.0,258
-1.0,-1.0,259
-1.0,-1.0,260
-1.0,-1.0,261
-1.0,-1.0,262
-1.0,-1.0,263
-1.0,-1.0,264
-1.0,-1.0,265
-1.0,-1.0,266
-1.0,-1.0,267
-1.0,-1.0,268
-1.0,-1.0,269
-1.0,-1.0,270
-1.0,-1.0,271
-1.0,-1.0,272
-1.0,-1.0,273
-1.0,-1.0,274
-1.0,-1.0,275
-1.0,-1.0,276
-1.0,-1.0,277
-1.0,-1.0,278
-1.0,-1.0,279
-1.0,-1.0,280
-1.0,-1.0,281
-1.0,-1.0,282
-1.0,-1.0,283
-1.0,-1.0,284
-1.0,-1.0,285
-1.0,-1.0,286
-1.0,-1.0,287
-1.0,-1.0,288
-1.0,-1.0,289
-1.0,-1.0,290
-1.0,-1.0,291
-1.0,-1.0,292
-1.0,-1.0,293
-1.0,-1.0,294
-1.0,-1.0,295
-1.0,-1.0,296
-1.0,-1.0,297
-1.0,-1.0,298
-1.0,-1.0,299
-1.0,-1.0,300
-1.0,-1.0,301
-1.0,-1.0,302
-1.0,-1.0,303
-1.0,-1.0,304
-1.0,-1.0,305
-1.0,-1.0,306
-1.0,-1.0,307
-1.0,-1.0,308
-1.0,-1.0,309
-1.0,-1.0,310
-1.0,-1.0,311
-1.0,-1.0,312
-1.0,-1.0,313
-1.0,-1.0,314
-1.0,-1.0,315
-1.0,-1.0,316
-1.0,-1.0,317
-1.0,-1.0,318
-1.0,-1.0,319
-1.0,-1.0,320
-1.0,-1.0,321
-1.0,-1.0,322
-1.0,-1.0,323
-1.0,-1.0,324
-1.0,-1.0,325
-1.0,-1.0,326
-1.0,-1.0,327
-1.0,-1.0,328
-1.0,-1.0,329
-1.0,-1.0,330
-1.0,-1.0,331
-1.0,-1.0,332
-1.0,-1.0,333
-1.0,-1.0,334
-1.0,-1.0,335
-1.0,-1.0,336
-1.0,-1.0,337
-1.0,-1.0,338
-1.0,-1.0,339
-1.0,-1.0,340
-1.0,-1.0,341
-1.0,-1.0,342
-1.0,-1.0,343
-1.0,-1.0,344
-1.0,-1.0,345
-1.0,-1.0,346
-1.0,-1.0,347
-1.0,-1.0,348
-1.0,-1.0,349
-1.0,-1.0,350
-1.0,-1.0,351
-1.0,-1.0,352
-1.0,-1.0,353
-1.0,-1.0,354
-1.0,-1.0,355
-1.0,-1.0,356
-1.0,-1.0,357
-1.0,-1.0,358
-1.0,-1.0,359
-1.0,-1.0,360
-1.0,-1.0,361
-1.0,-1.0,362
-1.0,-1.0,363
-1.0,-1.0,364
-1.0,-1.0,365
-1.0,-1.0,366
-1.0,-1.0,367
-1.0,-1.0,368
-1.0,-1.0,369
-1.0,-1.0,370
-1.0,-1.0,371
-1.0,-1.0,372
-1.0,-1.0,373
-1.0,-1.0,374
-1.0,-1.0,375
-1.0,-1.0,376
-1.0,-1.0,377
-1.0,-1.0,378
-1.0,-1.0,379
-1.0,-1.0,380
-1.0,-1.0,381
-1.0,-1.0,382
-1.0,-1.0,383
-1.0,-1.0,384
-1.0,-1.0,385
