mean_rewards,std_rewards,policy_index
74.6240234375,70.37445831298828,1
576.4560546875,605.9038696289062,2
698.203125,723.825439453125,3
541.837890625,521.7499389648438,4
494.791015625,500.9411926269531,5
517.337890625,526.3355712890625,6
334.0341796875,353.25567626953125,7
394.0341796875,410.5426330566406,8
508.142578125,517.281982421875,9
384.833984375,387.4259033203125,10
394.9892578125,408.88153076171875,11
547.1982421875,545.2322387695312,12
222.583984375,231.11407470703125,13
509.8154296875,512.1456298828125,14
556.2109375,544.7743530273438,15
446.251953125,453.7490234375,16
469.3955078125,475.68115234375,17
397.4892578125,376.6506652832031,18
512.0302734375,535.68310546875,19
500.0263671875,522.2103881835938,20
409.0048828125,380.550537109375,21
210.6611328125,206.0603790283203,22
558.201171875,543.4603881835938,23
481.6298828125,526.6287231445312,24
417.306640625,433.6465148925781,25
502.498046875,522.2946166992188,26
448.080078125,430.099365234375,27
511.18359375,506.1646728515625,28
445.7880859375,425.12982177734375,29
467.8095703125,453.1864013671875,30
568.6142578125,562.62158203125,31
558.990234375,549.056640625,32
492.25,498.51611328125,33
475.853515625,455.8365783691406,34
483.498046875,487.0348205566406,35
584.974609375,581.2888793945312,36
511.9833984375,534.5850219726562,37
464.150390625,473.0450744628906,38
459.19921875,447.2436218261719,39
465.9375,460.3997802734375,40
407.78515625,405.94140625,41
487.6064453125,488.88494873046875,42
429.8681640625,445.9658203125,43
505.576171875,472.3626708984375,44
533.8271484375,529.3716430664062,45
494.759765625,470.5045166015625,46
215.322265625,207.349853515625,47
469.3330078125,444.6978759765625,48
491.31640625,495.7510070800781,49
478.7294921875,481.4176330566406,50
533.7626953125,527.2645874023438,51
521.3115234375,520.9615478515625,52
496.7568359375,490.9759826660156,53
452.6240234375,437.2884826660156,54
335.4248046875,349.95391845703125,55
488.0576171875,471.92510986328125,56
443.7080078125,433.78759765625,57
473.736328125,488.6040344238281,58
468.1689453125,442.0102233886719,59
520.3994140625,510.4804382324219,60
498.4462890625,469.7767028808594,61
576.2861328125,572.2578125,62
233.232421875,215.45497131347656,63
562.2900390625,573.495361328125,64
534.7109375,546.3121337890625,65
486.4609375,465.5771484375,66
402.2646484375,396.3514404296875,67
483.330078125,501.8018493652344,68
506.498046875,491.0054626464844,69
430.8212890625,411.38800048828125,70
413.4326171875,428.57965087890625,71
345.0146484375,337.74798583984375,72
691.7734375,672.8150024414062,73
300.658203125,289.25848388671875,74
522.255859375,520.4880981445312,75
462.4169921875,477.6626892089844,76
583.892578125,563.1771240234375,77
533.23828125,497.7028503417969,78
440.2666015625,464.6709899902344,79
536.8447265625,503.0933837890625,80
515.744140625,543.0043334960938,81
523.9560546875,515.175537109375,82
330.5654296875,312.2037353515625,83
538.205078125,557.3059692382812,84
429.505859375,444.089111328125,85
537.8994140625,529.9446411132812,86
543.1806640625,540.4287109375,87
200.76953125,196.92266845703125,88
282.240234375,273.1592712402344,89
481.7734375,468.06884765625,90
428.095703125,391.385498046875,91
496.2314453125,478.8704833984375,92
510.80859375,512.4220581054688,93
502.724609375,503.9925231933594,94
432.333984375,422.5074157714844,95
414.22265625,400.46905517578125,96
498.83984375,478.1259765625,97
579.8115234375,587.9730834960938,98
531.591796875,509.5058898925781,99
428.3232421875,418.1510314941406,100
333.1162109375,323.30255126953125,101
508.8388671875,532.1094360351562,102
486.59375,500.99755859375,103
542.6220703125,564.0953979492188,104
623.177734375,630.1888427734375,105
563.7177734375,559.5548706054688,106
468.59375,445.0611267089844,107
504.65234375,496.4127502441406,108
465.322265625,485.6545104980469,109
